YearBuilt,SqFootageFinishedLiving,ADDRESS,ASSESSMENT,LOTSQFT.x
2002,3783,1876 WESTVIEW RD ,983600,10497.96
2000,2424,921 ROSSER LN ,844300,14549.04
2001,3638,1122 PRESTON AVE A&B,434100,7971.48
1981,1008,604 10 1/2 ST NW ,179100,6490.44
1994,1226,1223 JOHN ST ,252700,5096.52
1994,1226,1221 JOHN ST ,252700,4791.6
1993,1226,1219 JOHN ST ,265800,4791.6
1994,1226,1217 JOHN ST ,252700,4835.16
NA,NA,0 JOHN ST ,0,4356
2007,1088,1211 JOHN ST ,283500,1742.4
2007,1536,1209 JOHN ST ,384100,2178
2007,1446,1207 JOHN ST ,397700,2613.6
2007,1536,1203 JOHN ST ,400500,2178
2007,1088,1201 JOHN ST ,280500,1742.4
1917,3023,1805 FENDALL AVE ,793300,12893.76
2002,4284,805 FENDALL TER ,1318100,18948.6
1966,309,1800 JEFFERSON PARK AVE 1005,132100,0
1920,3672,600 MASSIE RD ,85759800,3516163.2
NA,NA,110 13TH ST NW ,843500,11456.28
NA,NA,1200-06 WERTLAND ST ,5198400,871200
NA,NA,1000 WERTLAND ST ,273900,6751.8
NA,NA,129 10TH ST NW ,1022500,29795.04
NA,NA,0 10TH ST NW ,146500,3354.12
NA,NA,0 10 1/2 ST NW ,38100,871.2
NA,NA,0 BARRACKS RD ,233800,36198.36
1940,3742,2028 BARRACKS RD ,1108900,82676.88
NA,NA,1106 W MAIN ST ,896000,10497.96
NA,NA,1102 W MAIN ST ,821700,9626.76
NA,NA,112 11TH ST SW ,7632900,23086.8
1939,5446,1930 BARRACKS RD ,1433800,32670
NA,NA,914-918 W MAIN ST ,887500,12719.52
NA,NA,0 BARRACKS RD ,276300,59633.64
NA,NA,120 11TH ST SW ,1090500,18513
NA,NA,0 11TH ST SW ,797500,17685.36
NA,NA,117 11TH ST SW ,22959300,61071.12
NA,NA,0 11TH ST SW ,161200,522.72
NA,NA,1224 JEFFERSON PARK AVE ,1486000,18861.48
NA,NA,1222 JEFFERSON PARK AVE & PARK ,69600,6054.84
1939,2633,1920 BARRACKS RD ,973900,88252.56
1950,1152,1851 WESTVIEW RD ,615700,40989.96
1954,3752,1855 WESTVIEW RD ,1046300,44387.64
NA,NA,1215 LEE ST ,385384000,910796.04
NA,NA,1215 LEE ST ,385384000,910796.04
NA,NA,1215 LEE ST ,385384000,910796.04
1952,2235,1857 WESTVIEW RD ,611400,37505.16
1941,2584,1885 WESTVIEW RD ,980800,56235.96
1952,2913,1889 WESTVIEW RD ,938600,41120.64
1940,2326,1891 WESTVIEW RD ,647600,43560
1958,1776,1893 WESTVIEW RD ,612300,19645.56
1958,2991,1895 WESTVIEW RD ,1298600,40336.56
2002,2080,1890 WESTVIEW RD ,628600,6534
1951,4320,1888 WESTVIEW RD ,1080100,22215.6
1950,2818,1884 WESTVIEW RD ,1078600,14984.64
1970,3357,1882 WESTVIEW RD ,910300,15071.76
1950,2357,1880 WESTVIEW RD ,830700,14984.64
1947,2366,1878 WESTVIEW RD ,675000,11979
1951,558,1852 WESTVIEW RD ,814600,24393.6
1951,2894,1852 WESTVIEW RD ,814600,24393.6
1953,2192,1863 FIELD RD ,700900,14897.52
1953,2625,1865 FIELD RD ,670700,14984.64
1953,2948,1867 FIELD RD ,760400,18556.56
1953,2370,1869 FIELD RD ,648400,14244.12
1954,1634,1871 FIELD RD ,630800,14244.12
1952,2584,1873 FIELD RD ,628600,16509.24
1952,3424,1877 FIELD RD ,916300,22476.96
1954,1368,1884 FIELD RD ,478300,12066.12
1952,1850,1882 FIELD RD ,513900,14157
1953,1668,1874 FIELD RD ,562300,17511.12
1958,3229,1872 FIELD RD ,639700,17511.12
1953,3125,1870 FIELD RD ,802300,17511.12
1952,2299,1868 FIELD RD ,702100,17511.12
1953,1810,1866 FIELD RD ,625600,17511.12
1953,1596,1864 FIELD RD ,588300,17511.12
2005,4032,906 FENDALL TER ,1476400,45825.12
1948,3587,1859 WINSTON RD ,637400,7492.32
1954,1091,1861 WINSTON RD ,471800,16030.08
1945,3636,1863 WINSTON RD ,1185900,18730.8
1936,2802,1867 WINSTON RD ,776300,11979
1939,2260,901 FENDALL TER ,1057500,29228.76
1946,2137,905 FENDALL TER ,635500,70000.92
NA,NA,902 EMMET ST N ,777800,20255.4
NA,NA,900 EMMET ST N ,694200,18077.4
NA,NA,0 EMMET ST N ,382300,9191.16
1935,2410,100-104 OAKHURST CIR ,3285600,14723.28
1925,1886,100-104 OAKHURST CIR ,3285600,14723.28
NA,NA,0 OAKHURST CIR ,100,23478.84
1922,2007,106 OAKHURST CIR ,451500,19209.96
1940,794,108 OAKHURST CIR ,504600,23086.8
1940,2383,108 OAKHURST CIR ,504600,23086.8
1915,2584,105 VALLEY RD ,591400,36633.96
1920,150,105 VALLEY RD ,591400,36633.96
1968,2264,110 OAKHURST CIR ,478100,13634.28
1930,1787,2 GILDERSLEEVE WOOD ,411000,23783.76
1926,2208,6 GILDERSLEEVE WOOD ,464200,20211.84
1930,1492,8 GILDERSLEEVE WOOD ,376800,12022.56
1961,1776,111 VALLEY RD ,253300,7797.24
1962,1840,113 VALLEY RD ,269000,8668.44
1925,2328,12 GILDERSLEEVE WOOD ,507100,15812.28
1922,1965,9 GILDERSLEEVE WOOD ,385200,12371.04
1964,2028,209 VALLEY RD ,269000,6708.24
1964,2220,207 VALLEY RD ,269000,5880.6
1964,2220,205 VALLEY RD ,268900,6926.04
1955,2725,7 GILDERSLEEVE WOOD ,476000,18208.08
1921,2128,5 GILDERSLEEVE WOOD ,574500,22694.76
1928,2253,3 GILDERSLEEVE WOOD ,456500,14026.32
1925,2800,1 GILDERSLEEVE WOOD ,524500,21213.72
1925,3088,114 OAKHURST CIR ,728500,12980.88
1930,1443,116 OAKHURST CIR ,392400,17511.12
1950,1056,120 OAKHURST CIR ,339600,6795.36
1948,2170,505 VALLEY RD ,367600,9670.32
1948,2170,505 VALLEY RD ,367600,9670.32
1948,2170,505 VALLEY RD ,367600,9670.32
1948,2170,505 VALLEY RD ,367600,9670.32
1940,1242,507 VALLEY RD ,247400,7013.16
1940,1179,513 VALLEY RD ,240500,6054.84
1937,987,515 VALLEY RD ,285300,5967.72
1935,713,521 VALLEY RD ,303100,5880.6
1935,576,523 VALLEY RD ,185100,4138.2
1937,1046,525 VALLEY RD ,347200,7579.44
NA,NA,0 VALLEY RD ,1600,609.84
NA,NA,0 VALLEY CIR ,17600,6969.6
1954,4074,536 VALLEY RD ,477300,27312.12
1935,1516,540 VALLEY RD ,282200,12588.84
1920,1233,140 VALLEY RD ,261300,10454.4
1945,1583,139 VALLEY RD ,407500,12588.84
1940,1614,550 VALLEY RD ,334000,13198.68
1952,1825,552 VALLEY RD ,325300,9539.64
1928,2094,1700 JEFFERSON PARK AVE ,656800,21823.56
1930,1017,1708 JEFFERSON PARK AVE ,542200,12196.8
1915,2106,1708 JEFFERSON PARK AVE ,542200,12196.8
1930,705,554 VALLEY RD ,178100,8799.12
1950,1388,1714 JEFFERSON PARK AVE ,711300,19994.04
1950,1388,1714 JEFFERSON PARK AVE ,711300,19994.04
1910,3547,1714 JEFFERSON PARK AVE ,711300,19994.04
1950,1348,1714 JEFFERSON PARK AVE ,711300,19994.04
1910,3547,1714 JEFFERSON PARK AVE ,711300,19994.04
1950,1348,1714 JEFFERSON PARK AVE ,711300,19994.04
1915,2266,110 MAYWOOD LN ,413200,25221.24
1910,3089,114 MAYWOOD LN ,456200,19906.92
1937,682,122 MAYWOOD LN ,288600,13198.68
1937,1056,122 MAYWOOD LN ,288600,13198.68
1939,968,128 MAYWOOD LN ,186700,2134.44
1935,1447,126 MAYWOOD LN ,246700,7753.68
1940,1148,130 MAYWOOD LN ,326400,24132.24
1939,960,132 MAYWOOD LN ,196400,5096.52
NA,NA,0 VALLEY CIR ,19300,8015.04
NA,NA,0 VALLEY CIR ,19300,11020.68
1945,1271,1 VALLEY CIR ,232200,9104.04
1945,1337,7 VALLEY CIR ,231800,6490.44
NA,NA,0 VALLEY CIR ,8800,5488.56
NA,NA,0 VALLEY CIR ,8800,5270.76
1937,2002,528 VALLEY RD ,435500,20560.32
1935,2862,526 VALLEY RD ,430900,10236.6
1940,1721,524 VALLEY RD ,379000,7840.8
1940,1694,520 VALLEY RD ,319900,7884.36
NA,NA, VALLEY RD ,13500,2613.6
1939,1334,516 VALLEY RD ,315300,7884.36
1936,2085,514 VALLEY RD ,379000,5270.76
1935,1201,510 VALLEY RD ,305100,10497.96
1930,1218,506 VALLEY RD ,308400,9975.24
NA,NA,502 VALLEY RD ,84600,3833.28
NA,NA,500 VALLEY RD ,93100,6446.88
NA,NA,503 BRANDON AVE ,455400,10672.2
NA,NA,501 BRANDON AVE ,471900,11979
NA,NA,408 VALLEY RD ,480400,12196.8
NA,NA,581 BRANDON AVE ,422000,9888.12
NA,NA,514 BRANDON AVE ,566300,14374.8
NA,NA,600 BRANDON AVE ,2464100,78190.2
NA,NA,512 BRANDON AVE ,849400,23522.4
NA,NA,516-518 BRANDON AVE ,852600,23609.52
NA,NA,504 BRANDON AVE ,995700,27573.48
1925,983,436 BRANDON AVE 1,178000,0
1925,973,436 BRANDON AVE 2,176700,0
1985,1272,436 BRANDON AVE 3,190700,0
1985,1264,436 BRANDON AVE 4,190000,0
1985,806,436 BRANDON AVE 5,147400,0
1985,806,436 BRANDON AVE 6,147400,0
1985,806,436 BRANDON AVE 7,141900,0
NA,NA,0 BRANDON AVE ,652100,16552.8
NA,NA,414 BRANDON AVE ,638300,16204.32
NA,NA,1400 JEFFERSON PARK AVE ,572000,8712
NA,NA,225 JEANETTE LANCASTER WAY ,7464700,16552.8
2007,604,428 MONROE LN 101,237300,0
2007,700,428 MONROE LN 110,275300,0
2007,445,428 MONROE LN 112,194400,0
2007,817,428 MONROE LN 102,340000,0
2007,652,428 MONROE LN 201,262300,0
2007,445,428 MONROE LN 212,194400,0
2007,820,428 MONROE LN 202,340200,0
2007,700,428 MONROE LN 203,277600,0
2007,700,428 MONROE LN 204,277600,0
2007,700,428 MONROE LN 205,277600,0
2007,700,428 MONROE LN 206,284900,0
2007,700,428 MONROE LN 207,277600,0
2007,700,428 MONROE LN 208,277600,0
2007,894,428 MONROE LN 209,349400,0
2007,700,428 MONROE LN 103,275300,0
2007,700,428 MONROE LN 210,277600,0
2007,652,428 MONROE LN 301,269100,0
2007,796,428 MONROE LN 302,285600,0
2007,700,428 MONROE LN 303,286800,0
2007,1050,428 MONROE LN 304,386300,0
2007,700,428 MONROE LN 305,286800,0
2007,1050,428 MONROE LN 306,386800,0
2007,700,428 MONROE LN 307,289400,0
2007,1147,428 MONROE LN 308,391600,0
2007,879,428 MONROE LN 309,303500,0
2007,700,428 MONROE LN 104,275300,0
2007,652,428 MONROE LN 401,213900,0
2007,796,428 MONROE LN 402,308400,0
2007,1050,428 MONROE LN 403,355000,0
2007,700,428 MONROE LN 404,276500,0
2007,1050,428 MONROE LN 405,345200,0
2007,700,428 MONROE LN 406,276500,0
2009,894,428 MONROE LN 407,356000,0
2007,700,428 MONROE LN 408,295900,0
2007,1143,428 MONROE LN 410,390500,0
2007,700,428 MONROE LN 105,277600,0
2007,1245,428 MONROE LN 501,445600,0
2007,1393,428 MONROE LN 502,546800,0
2007,1293,428 MONROE LN 503,445400,0
2007,1293,428 MONROE LN 504,445400,0
2007,1293,428 MONROE LN 505,445800,0
2007,1293,428 MONROE LN 506,445800,0
2007,1293,428 MONROE LN 507,445800,0
2007,1293,428 MONROE LN 508,445800,0
2007,1500,428 MONROE LN 509,542200,0
2007,700,428 MONROE LN 106,277600,0
2007,1752,428 MONROE LN 510,591400,0
2007,700,428 MONROE LN 107,275300,0
2007,700,428 MONROE LN 108,277600,0
2007,879,428 MONROE LN 109,348900,0
1939,783,435 MONROE LN ,344000,8058.6
NA,NA,435 MONROE LN ,344000,8058.6
NA,NA,0 EMMET ST S ,427300,17859.6
1925,1185,309 EMMET ST S ,291700,16335
1939,1184,1910 LEWIS MOUNTAIN RD ,309600,7492.32
1952,1971,1912 LEWIS MOUNTAIN RD ,376400,18774.36
1952,1971,1912 LEWIS MOUNTAIN RD ,376400,18774.36
0,NA,1916 LEWIS MOUNTAIN RD ,613000,11194.92
1935,2464,1916 LEWIS MOUNTAIN RD ,613000,11194.92
1949,2406,1918-20 LEWIS MOUNTAIN RD ,304700,16465.68
1947,1559,1922 LEWIS MOUNTAIN RD ,480600,10105.92
1939,1400,1926 LEWIS MOUNTAIN RD ,650300,9583.2
2017,2149,1926 LEWIS MOUNTAIN RD ,650300,9583.2
1921,2825,1928 LEWIS MOUNTAIN RD ,553300,11194.92
1938,1294,1932 LEWIS MOUNTAIN RD ,245300,8015.04
1923,2550,1934 LEWIS MOUNTAIN RD ,644400,9583.2
1934,2724,1935 THOMSON RD ,631300,15986.52
1949,4670,1931 THOMSON RD ,836000,15986.52
1949,2515,1927 THOMSON RD ,658200,16465.68
1951,2065,1919 THOMSON RD ,566700,14418.36
1941,2577,1917 THOMSON RD ,535000,13285.8
1947,1361,1915 THOMSON RD ,378000,9278.28
1936,1439,1913 THOMSON RD ,384200,10977.12
1950,2136,1916 THOMSON RD ,492200,16988.4
1955,2079,1918 THOMSON RD ,616900,18077.4
1939,2991,1920 THOMSON RD ,673900,23522.4
1957,2827,1924 THOMSON RD ,834300,24785.64
1928,2794,1930 THOMSON RD ,760300,15420.24
1931,1934,1934 THOMSON RD ,581100,20908.8
NA,NA,0 THOMSON RD ,148100,20081.16
1932,1464,1940 THOMSON RD ,428200,11282.04
1938,2550,1942 THOMSON RD ,571700,15420.24
1934,3304,1946 THOMSON RD ,830200,15681.6
1962,813,1946 THOMSON RD ,247300,5227.2
1956,2647,301 KENT RD ,759700,16857.72
1952,2308,305 KENT RD ,661900,15986.52
1953,2705,309 KENT RD ,607700,16422.12
1953,3178,313 KENT RD ,635100,16857.72
1960,2570,317 KENT RD ,625800,22738.32
1951,3123,325 KENT RD ,695000,17380.44
1942,2607,323 KENT RD ,662900,16639.92
NA,NA,98 MIDMONT LN ,4431900,20255.4
1946,4046,321 ALDERMAN RD ,654400,15289.56
1955,2174,316 KENT RD ,613800,14331.24
1950,3941,314 KENT RD ,902200,17293.32
1948,2656,310 KENT RD ,599800,16727.04
1950,2555,308 KENT RD ,704500,16247.88
1949,3004,2110 MINOR RD ,712400,17380.44
1950,1375,303 ALDERMAN RD ,426100,13677.84
1948,1290,307 ALDERMAN RD ,420900,15463.8
1978,1430,309 ALDERMAN RD ,520200,15899.4
1959,2718,315 ALDERMAN RD ,704700,16378.56
1942,1975,319 ALDERMAN RD ,503400,14069.88
1950,2071,316 ALDERMAN RD ,533900,19471.32
1948,1766,312 ALDERMAN RD ,522800,15115.32
1951,2389,308 ALDERMAN RD ,516800,0
1951,2192,306 ALDERMAN RD ,430800,15115.32
1950,1445,304 ALDERMAN RD ,448500,13852.08
1950,995,2028 MINOR RD ,325000,7710.12
1954,1276,2026 MINOR RD ,406900,6751.8
1951,2503,2024 MINOR RD ,550400,7187.4
1945,1496,2020 MINOR RD ,372500,9016.92
1931,1938,2016 MINOR RD ,459900,8929.8
1951,1180,2014 MINOR RD ,425200,12632.4
1948,2116,2012 MINOR RD ,660200,16596.36
1930,1927,109 MINOR RD ,483100,16770.6
1924,1092,109 MINOR RD ,483100,16770.6
1947,1869,103 MINOR RD ,548700,5880.6
1941,2140,2001 MINOR RD ,399200,10236.6
1940,2122,207 CAMERON LN ,459100,8712
1949,1935,1949 LEWIS MOUNTAIN RD ,556900,8363.52
1940,2149,1951 LEWIS MOUNTAIN RD ,641200,11151.36
NA,NA,0 MINOR RD ,4100,1176.12
1941,2150,1953 LEWIS MOUNTAIN RD ,447000,14810.4
1951,1916,1959 LEWIS MOUNTAIN RD A&B,298200,10018.8
1951,210,1959 LEWIS MOUNTAIN RD A&B,298200,10018.8
1951,1312,1961 LEWIS MOUNTAIN RD ,387400,0
1951,1312,1961 LEWIS MOUNTAIN RD ,137500,0
1951,1383,1963 LEWIS MOUNTAIN RD ,478900,10628.64
1949,1824,1965 LEWIS MOUNTAIN RD ,459000,11151.36
1940,2532,108 LEWIS MOUNTAIN CIR ,464200,15638.04
1954,2314,112 LEWIS MOUNTAIN CIR ,603500,7230.96
1954,1456,114 LEWIS MOUNTAIN CIR ,465600,13721.4
1948,1175,100 LEWIS MOUNTAIN CIR ,368200,13721.4
1952,1954,104 LEWIS MOUNTAIN CIR ,435200,6359.76
1930,2213,2003 LEWIS MOUNTAIN RD ,560100,10890
1952,2054,2007 LEWIS MOUNTAIN RD ,563400,25090.56
1955,1986,2011 LEWIS MOUNTAIN RD ,463000,8712
1956,1742,2013-15 LEWIS MOUNTAIN RD ,354000,10759.32
1955,2200,2012 LEWIS MOUNTAIN RD ,522900,7056.72
2012,5121,2014 LEWIS MOUNTAIN RD ,1219400,8407.08
1951,1357,2010 LEWIS MOUNTAIN RD ,414900,8799.12
1953,1510,2004-06 LEWIS MOUNTAIN RD ,272400,7840.8
1952,1505,2008 LEWIS MOUNTAIN RD ,392700,7971.48
1953,1786,2000 LEWIS MOUNTAIN RD ,429100,10105.92
1954,1189,2002 LEWIS MOUNTAIN RD ,305100,6534
1954,1024,1964 LEWIS MOUNTAIN RD ,374900,6229.08
1949,1746,1962 LEWIS MOUNTAIN RD ,377600,6751.8
1949,1746,1960 LEWIS MOUNTAIN RD ,377600,7100.28
1948,2847,1956-58 LEWIS MOUNTAIN RD ,390400,11238.48
1940,1833,1954 LEWIS MOUNTAIN RD ,460600,12196.8
1936,2457,1948 LEWIS MOUNTAIN RD ,592300,13024.44
1920,2583,1946 LEWIS MOUNTAIN RD ,545600,14679.72
1920,2622,1942 LEWIS MOUNTAIN RD ,682300,11194.92
1920,3171,1938 LEWIS MOUNTAIN RD ,732500,15507.36
1938,1638,1939 THOMSON RD ,516400,13155.12
1949,1679,1941 THOMSON RD ,533300,11935.44
1957,2940,1943 THOMSON RD ,600000,11630.52
1949,3496,1945 THOMSON RD ,646200,11630.52
1951,1714,1947 THOMSON RD ,525900,12022.56
1951,1592,1951 THOMSON RD ,435500,0
1952,2802,1953 THOMSON RD ,436700,12458.16
1951,1533,1955 THOMSON RD ,413100,11543.4
1935,2531,2001 THOMSON RD ,751900,31581
1956,2507,2043 THOMSON RD ,566200,12283.92
1954,2796,2025 THOMSON RD ,502500,9888.12
1955,1757,2040 THOMSON RD ,699500,28096.2
NA,NA, THOMSON RD ,135300,15028.2
1941,1745,2000 THOMSON RD ,837900,22999.68
1952,770,2000 THOMSON RD ,837900,22999.68
1951,1391,1966 THOMSON RD ,479400,14287.68
2009,3330,1962 THOMSON RD ,847200,13198.68
1939,5159,1958 THOMSON RD ,1274700,26223.12
1951,2166,1956 THOMSON RD ,673800,15855.84
1951,1381,1948 THOMSON RD ,459700,15071.76
NA,NA,409 STADIUM RD ,230200,11064.24
1927,1745,104 STADIUM RD ,376500,9975.24
1930,3179,102 STADIUM RD ,519600,9583.2
1949,1966,1705 JEFFERSON PARK AVE ,412500,12153.24
1950,2609,1713 JEFFERSON PARK AVE ,596500,0
1996,2184,1715 JEFFERSON PARK AVE ,774300,9452.52
1950,1866,1715 JEFFERSON PARK AVE ,774300,9452.52
NA,NA,1717 JEFFERSON PARK AVE ,711400,0
1986,1920,1719 JEFFERSON PARK AVE ,336900,5749.92
1959,1538,1721 JEFFERSON PARK AVE ,275300,4486.68
1940,1772,1723 JEFFERSON PARK AVE ,303700,4486.68
NA,NA,1725 JEFFERSON PARK AVE ,441700,14723.28
1920,2414,201 MONTEBELLO CIR ,468400,19689.12
1920,3682,205 MONTEBELLO CIR ,559700,27007.2
1980,2624,207 MONTEBELLO CIR ,535500,13460.04
NA,NA,0 MONTEBELLO CIR ,161300,17990.28
1925,2412,221 MONTEBELLO CIR ,439600,14679.72
1927,1923,225 MONTEBELLO CIR ,388400,15942.96
1952,1997,233-235 MONTEBELLO CIR ,751100,0
1955,1889,333-335 STADIUM RD ,314300,15681.6
1819,2998,1700 STADIUM RD ,835000,59982.12
1955,2009,323 MONTEBELLO CIR ,368300,13547.16
1954,1302,325 MONTEBELLO CIR ,327600,13547.16
1947,1900,311 MONTEBELLO CIR ,344500,9801
1947,842,315 MONTEBELLO CIR ,239900,9670.32
1978,2226,317 MONTEBELLO CIR ,321000,8886.24
1955,1909,314 MONTEBELLO CIR ,432000,20386.08
1930,2177,312 MONTEBELLO CIR ,403800,17511.12
1934,2730,308 MONTEBELLO CIR ,501900,17511.12
1920,2361,304 MONTEBELLO CIR ,489100,17511.12
1971,480,1804 CHELSEA DR ,429800,15246
1920,1774,1804 CHELSEA DR ,429800,15246
1945,1125,1810 CHELSEA DR ,215700,8102.16
1930,0,109-111 CHELSEA DR ,435200,11064.24
1930,2783,109-111 CHELSEA DR ,435200,11064.24
2008,0,109-111 CHELSEA DR ,435200,11064.24
1955,1170,100 DUNOVA CT ,258600,8886.24
1953,1308,108 DUNOVA CT ,271500,11064.24
1954,1120,112 DUNOVA CT ,253200,9496.08
1954,1670,116 DUNOVA CT ,351000,9931.68
1954,1111,120 DUNOVA CT ,247500,3136.32
1954,1889,1814 STADIUM RD ,278800,7013.16
1990,2240,1818 STADIUM RD ,335900,9060.48
1940,434,128 SHAMROCK RD ,312200,7492.32
1940,824,128 SHAMROCK RD ,312200,7492.32
1941,1350,126 SHAMROCK RD ,297900,6838.92
1941,536,126 SHAMROCK RD ,297900,6838.92
1930,1368,124 SHAMROCK RD ,352000,6054.84
1945,1346,1802 CHELSEA DR ,316100,10280.16
1922,2877,110 SHAMROCK RD ,588900,22651.2
1953,498,110 SHAMROCK RD ,588900,22651.2
1913,1880,112 SHAMROCK RD ,301000,8886.24
1946,1316,106 SHAMROCK RD ,320500,9496.08
1923,1313,1901 JEFFERSON PARK AVE ,273700,6664.68
1930,1188,104 HARMON ST ,228500,6229.08
1930,1292,105 SHAMROCK RD ,328200,6316.2
1932,1277,107 SHAMROCK RD ,247300,5749.92
1940,1136,109 HARMON ST ,220300,6011.28
1949,1980,110 HARMON ST ,300000,5749.92
1934,1912,109 SHAMROCK RD ,283200,5227.2
1933,1890,111 SHAMROCK RD ,297000,4660.92
1973,2376,112 HARMON ST ,281100,5096.52
1967,2112,118 HARMON ST ,265500,7318.08
1966,1708,114 HARMON ST A&B,269000,8799.12
1950,2294,116 HARMON ST ,394800,7884.36
1994,2213,115 SHAMROCK RD ,426100,7884.36
1967,2066,122 HARMON ST ,265500,6185.52
1967,2072,120 HARMON ST ,265500,6664.68
1962,1040,124 HARMON ST ,197800,6272.64
1937,1672,121 SHAMROCK RD ,302300,8799.12
1935,1687,1900 STADIUM RD ,345200,7753.68
1949,1069,1904 STADIUM RD ,263100,5445
1949,785,1906 STADIUM RD ,253300,7230.96
1948,1137,128 HARMON ST ,296800,6098.4
1938,1464,1912 STADIUM RD ,270800,8232.84
1938,1706,1914 STADIUM RD ,265400,8232.84
1940,1495,1918 STADIUM RD ,313000,12066.12
1938,1366,123 WASHINGTON AVE A&B,317900,6011.28
1981,1296,121 WASHINGTON AVE ,311200,5357.88
1949,3942,121 HARMON ST ,497900,18251.64
1948,1486,119 WASHINGTON AVE ,291600,7187.4
1950,1779,119 HARMON ST ,317800,7143.84
1938,1676,117 WASHINGTON AVE ,282800,7405.2
1930,1374,113 WASHINGTON AVE ,297400,7318.08
1950,1224,115 HARMON ST ,242200,6621.12
1941,1378,113 HARMON ST ,242100,5357.88
1930,3075,111 WASHINGTON AVE ,473600,10759.32
1935,1885,107 WASHINGTON AVE ,289600,6141.96
1930,1821,105 WASHINGTON AVE ,347900,7274.52
1985,1098,1910 JEFFERSON PARK AVE 1,195700,0
1985,1118,1910 JEFFERSON PARK AVE 10,194700,0
1985,1066,1910 JEFFERSON PARK AVE 11,191600,0
1985,1081,1910 JEFFERSON PARK AVE 12,193300,0
1985,1066,1910 JEFFERSON PARK AVE 14,191500,0
1985,1031,1910 JEFFERSON PARK AVE 15,194800,0
1985,1104,1910 JEFFERSON PARK AVE 16,194700,0
1985,1081,1910 JEFFERSON PARK AVE 17,193500,0
1985,1118,1910 JEFFERSON PARK AVE 18,196500,0
1985,1098,1910 JEFFERSON PARK AVE 19,193900,0
1985,1118,1910 JEFFERSON PARK AVE 2,196500,0
1985,1118,1910 JEFFERSON PARK AVE 20,192900,0
1985,1081,1910 JEFFERSON PARK AVE 21,193500,0
1985,1081,1910 JEFFERSON PARK AVE 22,193500,0
1985,1098,1910 JEFFERSON PARK AVE 23,193900,0
1985,1118,1910 JEFFERSON PARK AVE 24,196500,0
1985,1066,1910 JEFFERSON PARK AVE 3,191600,0
1985,1081,1910 JEFFERSON PARK AVE 4,193500,0
1985,1098,1910 JEFFERSON PARK AVE 5,193900,0
1985,1118,1910 JEFFERSON PARK AVE 6,196400,0
1985,1066,1910 JEFFERSON PARK AVE 7,191500,0
1987,1081,1910 JEFFERSON PARK AVE 8,193500,0
1985,1081,1910 JEFFERSON PARK AVE 9,193500,0
NA,NA,0 CARROLLTON TER ,198200,0
1901,1393,113 CARROLLTON TER ,313400,6751.8
1949,1467,105 CARROLLTON TER ,285800,6534
1946,1499,106 CARROLLTON TER ,260000,5009.4
1946,2361,108 CARROLLTON TER ,444200,6708.24
1947,1622,111 KENT TER ,274500,5532.12
1945,2780,107 KENT TER ,370200,5183.64
1946,1025,105 KENT TER ,317900,5096.52
1947,2264,101 KENT TER ,373500,8015.04
1947,1243,106 KENT TER ,253700,5009.4
1948,1520,108 KENT TER ,424100,5096.52
1950,1673,110 KENT TER ,428000,5270.76
NA,NA,1800 JEFFERSON PARK AVE ,1400,72004.68
1966,564,1800 JEFFERSON PARK AVE 1,124800,0
1966,615,1800 JEFFERSON PARK AVE 10,101900,0
1966,854,1800 JEFFERSON PARK AVE 11,127400,0
1966,771,1800 JEFFERSON PARK AVE 12,156500,0
1966,777,1800 JEFFERSON PARK AVE 13,148500,0
1966,816,1800 JEFFERSON PARK AVE 14,148500,0
1966,822,1800 JEFFERSON PARK AVE 15,149700,0
1966,771,1800 JEFFERSON PARK AVE 16,148500,0
1966,777,1800 JEFFERSON PARK AVE 17,152400,0
1966,854,1800 JEFFERSON PARK AVE 18,156500,0
1966,854,1800 JEFFERSON PARK AVE 19,156500,0
1966,615,1800 JEFFERSON PARK AVE 2,127500,0
1966,771,1800 JEFFERSON PARK AVE 20,156500,0
1966,777,1800 JEFFERSON PARK AVE 21,156500,0
1966,854,1800 JEFFERSON PARK AVE 22,156500,0
1966,854,1800 JEFFERSON PARK AVE 23,157300,0
1966,771,1800 JEFFERSON PARK AVE 24,137500,0
1966,771,1800 JEFFERSON PARK AVE 25,148500,0
1966,854,1800 JEFFERSON PARK AVE 26,152800,0
1966,615,1800 JEFFERSON PARK AVE 27,101900,0
1966,564,1800 JEFFERSON PARK AVE 28,98100,0
1966,771,1800 JEFFERSON PARK AVE 29,156500,0
1966,854,1800 JEFFERSON PARK AVE 3,152800,0
1966,854,1800 JEFFERSON PARK AVE 30,156500,0
1966,615,1800 JEFFERSON PARK AVE 31,135100,0
1966,564,1800 JEFFERSON PARK AVE 32,130600,0
1966,771,1800 JEFFERSON PARK AVE 33,156500,0
1966,854,1800 JEFFERSON PARK AVE 34,156500,0
1966,615,1800 JEFFERSON PARK AVE 35,101900,0
1966,564,1800 JEFFERSON PARK AVE 36,98100,0
1966,771,1800 JEFFERSON PARK AVE 37,107500,0
1966,854,1800 JEFFERSON PARK AVE 38,152800,0
1966,615,1800 JEFFERSON PARK AVE 39,127500,0
1966,771,1800 JEFFERSON PARK AVE 4,148500,0
1966,564,1800 JEFFERSON PARK AVE 40,101900,0
1966,771,1800 JEFFERSON PARK AVE 41,156500,0
1966,854,1800 JEFFERSON PARK AVE 42,156500,0
